name, class, memory, x, y, z, roll, pitch, yaw
MFD_Box1,USARPhysObj.WCCrate11204,1,0.9926,1.0008,0.1040,0.0015,-0.0001,3.0812
MFD_Box2,USARPhysObj.WCCrate11346,8,0.6739,0.9789,0.1190,0.0013,-0.0001,3.1086
MFD_Box3,USARPhysObj.WCCrate11346,8,0.3700,0.9871,0.1191,0.0012,-0.0003,3.0948
MFD_Box4,USARPhysObj.WCCrate11350,9,0.6690,0.7620,0.1193,-0.0011,-0.0006,3.1219
MFD_Box5,USARPhysObj.WCCrate11350,9,0.3638,0.7613,0.1193,-0.0011,-0.0006,3.0926
MFD_Box6,USARPhysObj.WCCrate11365,10,0.6684,0.5425,0.1193,-0.0008,-0.0004,3.0912
MFD_Box7,USARPhysObj.WCCrate11365,10,0.3639,0.5444,0.1193,-0.0005,-0.0004,3.0930
MFD_Box8,USARPhysObj.WCCrate11401,11,0.6726,0.3267,0.1193,-0.0010,-0.0004,3.0990
MFD_Box9,USARPhysObj.WCCrate11401,11,0.3691,0.3281,0.1193,-0.0002,0.0008,3.1093
MFD_Box10,USARPhysObj.WCCrate11343,7,0.6817,0.1112,0.1194,-0.0002,-0.0001,3.1077
MFD_Box11,USARPhysObj.WCCrate11343,7,0.3754,0.1001,0.1194,-0.0001,0.0000,3.0760
MFD_Box12,USARPhysObj.WCCrate11210,2,0.9912,0.5815,0.1169,-0.0002,-0.0004,-1.6241
MFD_Box13,USARPhysObj.WCCrate11204,1,1.0037,0.1149,0.1046,-0.0002,-0.0003,-1.6082
MFD_Box14,USARPhysObj.WCCrate11254,4,0.6525,0.8776,0.2643,-0.0002,-0.0005,-1.5641
MFD_Box15,USARPhysObj.WCCrate11252,3,0.6502,0.4400,0.2645,0.0001,0.0004,-1.5631
MFD_Box16,USARPhysObj.WCCrate11293,6,0.6336,0.0522,0.2928,-0.0143,-0.0912,-3.0735
MFD_Box17,USARPhysObj.WCCrate11401,11,0.1008,0.9102,0.1196,0.0005,-0.0017,-1.5694
MFD_Box18,USARPhysObj.WCCrate11401,11,0.1032,0.6076,0.1192,0.0001,-0.0036,-1.5929
MFD_Box19,USARPhysObj.WCCrate11292,5,0.3125,0.8461,0.2681,0.0006,-0.0007,-1.5797
MFD_Box20,USARPhysObj.WCCrate11601,12,0.1020,0.3004,0.1081,-0.0008,0.0008,-1.6161
